cid,MF,MW,Ncharges,C,H,N,O,Cl,P,S,F,Br,Pt,I,Gd,B,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
137,C5H9NO3,131.12986,0,5,9,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,130.1229973,2.1034,10,3,1,1,1,0,0,0.5,8,0,0,38.411,17,0,0,0,0,0,0,1,3,0,0,16,0,0,0,0,84.84,5.467905046,0.983452339,4.559908528,9,4.839506173,81,76,0,18,17,2,13,4,2,0.0793,30.8282,131.12986,0,15,0,80.39
247,C5H11NO2,117.14634,2,5,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,117.1479977,1.4687,12,2,0,1,1,0,1,0.285714286,7,0,0,39.9799,19,0,0,0,0,0,0,1,2,0,0,18,0,0,0,0,40.13,5.5214487,1.089566938,4.067562632,8,2.52,91,82,0,19,18,1,12,2,0,-1.5575,28.3529,117.14634,0,17,0,40.13
311,C6H8O7,192.12352,0,6,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,189.0989953,0.0112,9,7,1,4,3,1,0,0.416666667,12,0,0,37.2673,18,0,0,0,0,0,0,0,7,0,0,17,0,0,0,0,140.62,6.873096988,0.976639928,6.037493337,13,5.024221453,94,103,0,21,20,3,15,7,4,-1.2485,37.4712,192.12352,0,17,0,132.13
444,C13H18ClNO,239.74112,0,13,18,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,239.7459948,6.6981,19,1,1,0,0,0,1,0.25,16,0,0,88.7106,34,1,0,0,1,0,0,1,1,0,0,34,0,0,0,0,33.68,9.731506044,1.026946168,8.476159847,14.0625,5.557655955,170,169,6,34,34,1,20,2,1,3.6902,68.5212,239.74112,0,27,0,29.1
700,C2H7NO,61.08308,0,2,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,61.08399904,1.127,8,1,2,1,0,1,0,0.333333333,3,0,0,24.4033,11,0,0,0,0,0,0,1,1,0,0,10,0,0,0,0,47.87,4.181377811,0.974899552,3.289034496,4,3,45,36,0,11,10,0,9,2,2,-0.3623,15.5972,61.08308,0,10,0,46.25
727,C6H6Cl6,290.82984,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,290.8319929,6.9018,6,0,0,0,0,0,0,0,12,0,0,63.96,18,6,0,0,6,0,0,0,0,0,0,18,0,0,0,0,0,5.706783685,1.094309469,4.214963267,10.08333333,3.395061728,102,120,0,18,18,0,6,0,0,3.6444,57.618,290.82984,0,18,0,0
750,C2H5NO2,75.0666,0,2,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,74.05899858,1.1207,5,2,1,1,1,0,0,0.25,4,0,0,19.562,9,0,0,0,0,0,0,1,2,0,0,8,0,0,0,0,67.77,4.749456238,0.977991831,3.856335284,5,2.25,39,33,0,10,9,1,8,3,2,-0.27,16.2072,75.0666,0,8,0,63.32
1003,H2O4P,96.987242,1,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.98599935,-1.0258,5,4,2,3,3,0,0,0,4,0,0,15.5206,7,0,0,0,0,0,0,0,4,1,0,6,0,0,0,0,90.4,3.708088397,0.97201113,2.814862076,5,1,26,24,0,7,6,1,5,4,2,-0.4904,12.7306,96.987241,0,5,0,90.4
1125,C9H15N5O3,241.2471,0,9,15,5,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,1,241.250996,2.4253,22,7,6,5,0,2,0,0.111111111,18,2,0,72.164,32,0,0,0,0,0,0,5,3,0,0,33,0,0,0,0,136.29,10.62633641,0.973280587,9.918060583,13.43209877,5.325443787,165,182,6,32,33,1,22,7,6,-0.843,68.3741,241.2471,0,26,0,136.29
1727,C5H6N2,94.11454,0,5,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,94.11699843,2.1654,8,2,1,0,0,0,0,0,7,1,0,34.7948,13,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,38.91,5.40500046,1.01432196,4.328683271,5.142857143,2.34375,58,57,6,13,13,0,8,2,1,1.245,28.6414,94.11454,0,7,0,38.91
