DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
137,small molecule,TRUE,Y,-2.9,0.12,131.1299,131.0582432,80.39,30.45,12.55,4,4,2,4.05,7.84,0,0,T
311,small molecule,FALSE,N,-1.3,-0.26,192.1235,192.0270026,132.13,35.62,15.54,5,7,4,3.05,-4.2,-3,0,T
444,small molecule,TRUE,Y,3.28,-3.5,239.741,239.1076919,29.1,67.7,25.93,4,2,1,18.29,8.22,1,1,T
700,small molecule,FALSE,N,-1.5,1.14,61.0831,61.05276385,46.25,16.21,6.63,1,2,2,15.61,9.55,1,0,T
727,small molecule,FALSE,N,3.94,-4.7,290.83,287.8600664,0,54.08,23.08,0,0,0,,,0,1,T
750,small molecule,FALSE,Y,-3.3,0.87,75.0666,75.03202841,63.32,16,6.65,1,3,2,2.31,9.24,0,0,T
1003,small molecule,FALSE,N,,,96.9872,96.96907006,80.59,13.53,5.53,0,4,2,1.8,,-2,0,T
1125,small molecule,FALSE,Y,-1.7,-2,241.2471,241.1174894,132,68.43,23.4,2,8,6,10.01,3.58,0,2,T
1727,small molecule,FALSE,Y,0.08,0.46,94.1145,94.0530982,38.91,28.6,9.62,0,2,1,,8.95,1,1,T
1775,small molecule,FALSE,Y,2.26,-3.5,252.268,252.0898776,58.2,70.18,25.48,2,2,2,9.47,-9,0,3,T
1978,small molecule,FALSE,Y,1.43,-3.3,336.4259,336.2049074,87.66,94.87,38.51,10,5,3,13.91,9.57,1,1,T
1983,small molecule,FALSE,Y,0.51,-1.6,151.1626,151.0633285,49.33,42.9,15.52,1,2,2,9.46,-4.4,0,1,T
1990,small molecule,FALSE,Y,-1.5,0.83,75.0666,75.03202841,49.33,16.23,6.6,0,2,2,8.94,-5.4,0,0,T
2022,small molecule,FALSE,N,-0.95,-1.4,225.2046,225.0861892,114.76,54.63,21.51,4,7,3,7.99,2.63,0,2,T
2082,small molecule,FALSE,Y,3.22,-4.1,265.331,265.0884974,67.01,73.01,29.3,5,3,2,9.51,4.27,0,2,T
2083,small molecule,TRUE,Y,0.44,-2,239.3107,239.1521435,72.72,67.87,26.86,5,4,4,10.12,9.4,1,1,T
2088,small molecule,TRUE,Y,-1.3,-1.2,249.096,249.0167248,161.31,47.37,19.4,5,8,6,0.69,9.91,-1,0,T
2092,small molecule,FALSE,Y,2.02,-3.1,389.4488,389.2063044,111.83,107.11,42.71,8,8,2,14.64,7.3,1,3,T
2094,small molecule,TRUE,Y,-1.7,-1.4,136.1115,136.0385108,65.85,54.24,11.67,0,5,2,7.83,2.57,0,2,T
