"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"+",0,1.09724506578947,0,0,0,0,0,0,0,0,1.158203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.158203125,0,0
"-",0,0,0,2.116777154513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.188679245283,5.59433962264151,4.47547169811321,0,0,0,0,0,0,0,0,6.71320754716981,0
"Not Available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49074074074074,0,0,0,0,0,0,0,0,0,0,0
"+",0,1.13712770297838,0,0,0,0,0,0,0,0,1.37906976744186,0,0,0,0,0,0,0,1.29794801641587,0,0,0,0,0,0,1.31011627906977,1.30648714810282,1.37906976744186,1.37906976744186,1.37906976744186,0,0
"-",0,0,0,0,0,3.90452674897119,3.41646090534979,0,0,3.61742919389978,0,2.60301783264746,0,0,0,0,1.90982286634461,0,0,0,0,3.95333333333333,0,0,0,0,0,0,0,0,4.09975308641975,3.19461279461279
"Not Available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49074074074074,0,0,0,0,0,0,0,0,0,0,0
"+",0,0,0,0,0,0,0,0,0,0,1.45390650539392,0,0,1.91084854994629,0,0,0,0,1.57363998230871,0,0,0,1.71486408328514,0,0,0,0,2.12799043062201,0,1.93854200719189,0,0
"-",1.77451152966027,0,0,0,0,1.76291341508733,0,0,0,0,0,1.61600396383005,0,0,1.98327759197324,0,1.55213028937037,0,0,1.73536789297659,0,1.98327759197324,0,0,0,0,0,0,0,0,1.85105908584169,0
"Not Available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49074074074074,0,0,0,0,0,0,0,0,0,0,0
"Non-substrate",0,1.67292603367716,0,1.93290778215401,0,0,0,2.38391959798995,2.52145342095091,0,0,0,0,0,1.98659966499162,1.98659966499162,0,2.23492462311558,0,2.60741206030151,0,0,0,0,0,0,0,0,0,1.68429102031899,0,0
"Substrate",0,0,1.50020238818053,0,0,0,0,0,0,1.52491160398586,0,1.32017810159887,0,1.50448868071819,0,0,0,0,0,0,0,1.62021857923497,0,0,0,1.37718579234973,0,1.54657228017884,1.62021857923497,0,0,0
"Not Available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49074074074074,0,0,0,0,0,0,0,0,0,0,0
"Non-inhibitor",1.47512437810945,0,0,0,0,0,0,1.37678275290216,1.47512437810945,0,0,0,0,0,1.47512437810945,0,0,0,0,1.47512437810945,0,0,0,0,0,0,0,0,0,0,1.37678275290216,0
"inhibitor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
