"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"+",0.241119166350545,0.0318751615575164,0.0946564757846942,0.99801738266565,0.435002125335924,0.976241343506884,0.646033986458965,0.107360634703366,0.145084741153328,0.0793559479649428,0.0318282123213411,0.851049612435409,0.699819572380821,0.408488590178251,0.864509347108444,0.888069123107319,0.920569562106697,0.917459863240507,0.299664698666004,1,0.999994988657277,0.993905983552687,0.450633206022238,0.402361952987965,0.369294713347121,0.0503218189176022,0.0585897039730297,0.64703953921058,0.0923152862414758,0.0318282123213411,0.999999857536635,0.543451166579151
"-",0.835987959941133,0.973746943935096,1,0.0378766906741264,0.864901575871389,0.188259539460428,1,1,1,1,1,0.440771179206028,1,1,0.14239380612863,0.572006020805697,0.338691038166011,0.529367522878445,1,2.45057596652976e-09,0.00305323603397284,0.00798972563769277,1,0.987551247042156,1,1,1,0.312863906787821,1,1,6.18560128746021e-07,1
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"+",0.186272136615312,0.049390048319081,0.0940874637999269,0.895202188223243,0.126214488356081,1,0.999992395712274,0.172014618747183,0.50048631211005,0.999999813302145,0.000521303599383031,0.999997524505958,0.306485465949535,0.0677845257867635,0.172014618747183,0.242400776120419,0.997368387494682,0.306485465949535,0.0298216989192173,0.306485465949535,0.615951037706886,0.999997994759744,0.259711748668849,0.773323431084305,0.372744821697274,0.0127365767615553,0.0169615828267706,0.000729569498156155,0.0054025495373276,0.000521303599383031,1,0.999983204823033
"-",0.845837686074973,0.93632372982497,0.966135981220997,0.474615155562788,0.970424690327296,4.44800330440919e-05,0.000660723856347666,0.890553941096292,0.598149417973186,2.06871203144563e-07,1,3.0452111562955e-05,1,1,0.890553941096292,1,0.0198933908784193,1,1,0.875151675544867,1,1.07132482055399e-05,0.966547730736601,0.597884241936782,0.890553941096292,0.994822287674164,0.99323005267647,1,1,1,7.04533263341336e-09,0.000531694774145121
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"+",0.999832945131412,0.135487295514114,0.290038458639656,0.993350781168235,0.313254514489265,1,0.636459042554849,0.175716841270238,0.771501616971165,0.521401539107542,0.0369803043418188,0.999981171625053,0.085657977286234,0.00187137759636422,1,0.161772167015986,0.999832253887116,0.779076104585968,0.0274868774627643,0.991776382578133,0.519973678225084,1,0.0187622827065198,0.798280245403755,0.544099709384395,0.871479952468127,0.501167342690992,4.03698867916964e-07,0.118507358238978,2.64490165012785e-05,1,0.362064182984005
"-",0.000345218188670758,0.816665014287541,0.797333551520682,0.0955424125990602,0.823166848219465,0.0200105617525579,0.756025791980331,0.859828720011414,0.299137285275567,0.514265800319425,0.960256543552893,0.000689130665612828,0.996522903165601,0.999953791326238,2.89562531784226e-05,0.982305440553836,0.00518067964096159,0.646878659078999,0.994781638837142,0.0360902424489058,0.967543057772282,0.000984540246021684,0.998589971261069,0.523570309555651,0.710326060837894,0.135712707241168,0.515084169526812,0.999999868831303,0.904058745476244,0.999979388968606,0.000477016170781382,0.894221204225978
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-substrate",0.0643873897803053,0.000191852756594282,0.999988223267579,5.75306021181853e-05,0.887388916230117,1,1,0.000257389395653372,0.000194747013440229,0.99914886461047,0.529850006051829,0.998616843539355,1,1,0.00821652983738824,0.042590201941613,0.841182950276997,0.0196583211815425,0.959694964918202,0.00254716015521443,0.962926442257908,1,0.454999448181024,0.802245079572582,0.388027892047373,0.984600153538724,0.465421281460793,0.999898705311298,1,0.0177951871346243,0.982454216661988,0.773124692142661
"Substrate",0.937378321671587,0.999513842037587,0.000261191504337109,0.99999965598329,0.244127887484088,0.0839047878345635,0.0839047878345635,0.999861580087305,0.999929483692693,0.00284472390718597,0.453487251180616,0.0214413358161238,0.123855490134685,0.0105661469013363,0.994217306768682,0.997437194320557,0.453487251180616,0.999573230480366,0.154579632950908,0.999573230480366,0.634312862096466,0.00764773761074455,0.81140174720085,0.538984840167936,0.828390444820886,0.0213452328186133,0.550156883289441,0.000295560597118162,0.000389975218447684,0.978671534881527,0.111370889205963,0.58053831242168
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-inhibitor",0.000538487683662029,0.825958887991783,0.880079374106548,0.104801747681275,0.985587717328519,0.157495653691293,0.157495653691293,0.0225804123421012,0.00599245471866145,0.0512108259877415,0.917684963842906,0.99721139248193,0.212279047845213,0.954505131194931,0.00269326774938066,0.157495653691293,0.194541622834345,0.212279047845213,0.998857656182509,0.04360386058183,0.998065505108954,0.590181279607307,0.155380315015822,0.998144644984305,0.0905750198184978,0.522234547466728,0.9989011226075,0.997974289379237,0.186920320031593,0.194541622834345,0.0225804123421012,0.999066606745338
"inhibitor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-inhibitor",0.00158699951226733,0.310124631780086,0.979846251167689,0.128851317901062,0.89327494606939,0.507398975933561,0.507398975933561,0.0448934552588519,0.0124846552793768,0.00316528302779147,0.99643559612183,0.949991869655039,0.287948411817094,0.639327396293757,0.00629519280497719,0.507398975933561,0.826681632693717,0.287948411817094,0.657100494041039,0.0683101226671652,0.999187371601989,0.174760663666514,0.472651077843078,0.987928491249705,0.771516973897473,0.286588264904512,0.994171332491031,0.976533360002911,0.122958107176809,0.826681632693717,0.771516973897473,0.940954239550462
"inhibitor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-inhibitor",0.0667418902775931,0.588895333014561,0.999738283170186,0.312625754851092,0.9488352095502,0.407518181437626,0.407518181437626,0.0282525453066997,0.0457285992138803,0.0174224001153397,0.98922810636063,0.0540033928207826,0.47576620899048,0.999543664360717,0.0282525453066997,0.407518181437626,0.107638162717497,0.47576620899048,0.274215542062951,0.151171931604953,0.936286002044793,0.0938342109124997,0.466942249618547,0.526359741403211,0.361817226404626,0.988010755780987,0.920675852789599,0.999999999966818,0.0221914456215254,0.915387667157255,0.143746466780241,0.293412978548005
"inhibitor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-inhibitor",0.0197309857188381,0.922251279830735,0.897598754619791,0.634110539006398,0.0767965008210408,0.485251725538318,0.485251725538318,0.989562296666757,0.928772481291147,0.14892431133288,0.766129628304042,0.235821346412257,0.55100681879058,0.509170424103162,0.0456269321595845,0.781149645173498,0.956749545838615,0.55100681879058,0.367955913079288,0.194833397007492,0.832666972418211,0.128942252263769,0.928772481291147,0.998880050976706,0.204350408927501,0.0909206571887225,0.740164144042192,0.0647403481173335,0.0370225452990401,0.956749545838615,0.204350408927501,0.999894813937517
"inhibitor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-inhibitor",0.0231395058515866,0.971429655882438,0.988346537881847,0.332713215015929,0.994471602684553,0.507138014050714,0.507138014050714,0.0517161463199028,0.0771366478221175,0.834110346753098,0.906811255342027,0.113906372831992,0.57177466562816,0.916855297239831,0.0517161463199028,0.507138014050714,0.194233586138162,0.57177466562816,0.646054195097568,0.20819350050503,0.846346333895419,0.140111958892742,0.81633688587065,0.91995597187967,0.733883064492545,0.876014238051383,0.316547750160657,0.999998742749184,0.0423213446527924,0.0636112988763922,0.22355777174996,0.392457682456001
"inhibitor",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Not Available",1,0.93880067166706,0.723995022209874,0.079886073244098,0.630612644196759,0.344480686671152,0.344480686671152,1,1,1,1,0.351388302193203,0.312762010219756,0.483066300657344,1,0.344480686671152,0.281920851397461,0.312762010219756,0.552177411544565,1,0.0472103003941158,1,0.457827223112585,0.336732133889062,0.507172017207001,1,1,1,1,1,0.507172017207001,0.403742195588954
"Non-inhibitor",0.0376052302251664,0.970961438830477,0.918827706950448,0.465060385837751,0.901002109407039,0.635147750099167,0.635147750099167,0.093838840301842,0.625633719053421,0.00919750859434492,0.326375448644958,0.700790942485479,0.709429008360011,0.314894101729348,0.0160992604983183,0.635147750099167,0.845220983351185,0.396806446614732,0.97158417897248,0.112256114903723,0.709429008360011,0.0646290825214934,0.368364220152878,0.955907342671749,0.880051052078176,0.108644828601682,0.998774690020089,0.191194473574406,0.448228121596216,0.522668191708236,0.267380499088751,0.999930541553089
