"","0","A","B","C","D","G","H","J","L","M","N","P","R","S","V"
"1",0,0,0,0,0,0,0,5.75030303030303,0,0,0,0,0,2.75046382189239,0
"2",0,0,0,0,0,0,0,0,0,0,2.71810542398778,0,0,0,0
"3",0,3.54436781609195,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,7.90666666666667,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,7.90666666666667,0,0,0,0,0,8.06802721088435,0
"6",0,0,0,4.90661938534279,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,4.23571428571429,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,15.8839285714286,0,0,0,0,0
"9",0,0,0,2.3656914893617,11.5305555555556,0,13.8984375,0,0,0,0,0,7.05952380952381,4.53826530612245,0
"10",0,0,0,3.15425531914894,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,5.29464285714286,0,0,0,0,0
"12",0,0,0,4.45306633291615,0,0,0,0,0,0,0,0,3.32212885154062,0,0
"13",0,0,0,0,0,0,0,0,4.10025929127053,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,6.05720122574055,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54044117647059
"16",0,0,0,0,0,0,0,0,0,0,4.59987071751778,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,9.29202279202279,0,0,2.59113607990012,0,0,0,0,0,0
"19",0,0,0,0,0,0,17.1057692307692,3.04102564102564,0,0,0,0,0,0,5.70192307692308
"20",0,0,0,0,0,2.71520146520147,0,2.54142857142857,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,4.90952099349497,0,0,0,0,0,0
"22",0,0,0,2.10283687943262,0,3.54786324786325,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,4.98319327731092,0,0,0,0
"24",0,0,0,2.92895136778115,0,0,0,0,0,0,0,0,0,0,0
"25",5.06837606837607,2.8382905982906,5.70192307692308,0,0,0,0,0,0,0,0,0,0,0,0
"26",0,0,5.70192307692308,0,0,0,0,0,0,0,0,0,0,3.72370486656201,0
"27",0,0,0,0,0,0,0,0,0,11.9129464285714,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,3.73739495798319,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,9.265625,0,4.94166666666667,5.70192307692308,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,3.8106772120613,0,0,0,0
"32",0,0,0,0,0,0,0,6.32533333333333,0,0,0,0,0,0,0
"33",1,0.791849092086932,1,0.705618942550548,0.509214258055563,1,1,3.80750290737745e-11,0.868415492320576,0.711541828527895,1,1,1,0.0281366825537904,1
"34",1,0.298843994834193,1,0.705618942550548,0.829502909687068,1,1,1,1,1,0.000269152170233539,1,0.198939327425095,0.270396028418313,0.458179804399457
"35",0.365180001928022,1.00935990235046e-05,0.556402311476927,0.498092443453924,0.904327513524299,1,1,0.735283900611687,0.949280473893937,0.807781268633848,0.998736631391545,0.365180001928022,0.625321126090886,0.923075019699638,0.556402311476927
"36",1,0.744186421344426,1,0.824540554826903,2.29745646056637e-05,0.496262024503958,1,1,0.457106362502725,0.428283278234489,0.895561230067533,1,1,1,1
"37",1,0.706492868497338,1,1,1,1,1,5.34241274444033e-09,1,1,1,1,1,1.6422329336625e-05,1
"38",1,1,1,5.65067771952501e-05,1,1,1,1,0.401400809457558,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,0.963495847539979,1,3.46808995280911e-10,0.267225989206069,1,1,0.426576017368058
"40",1,0.613916658031435,1,1,0.426136727099291,0.380424051626203,1,0.613916658031435,1,1.0364131624634e-07,1,0.102016617639821,1,1,1
"41",1,0.131656770240946,1,0.0283438594397266,2.76569769706438e-15,1,0.00083437807685985,1,1,1,1,1,2.74410165857988e-06,0.000994327800326594,1
"42",1,0.546601050366479,1,0.00269462270973349,1,1,1,1,0.900162206266154,0.544118025390897,0.556423226919924,1,1,0.324360539749205,1
"43",1,0.0879601356731952,1,0.913328762407855,0.287846680670404,0.0577721862093848,1,1,1,0.00479177932086479,0.958206575776227,1,0.64665810415179,0.705205790145298,1
"44",0.231711486019726,1,1,4.16254129550246e-07,1,1,1,1,1,1,1,1,0.0263395189867697,0.774003247759338,1
"45",1,0.505025698364067,1,1,0.645451566342347,1,1,0.219656418347505,0.000130376601860949,1,1,1,1,1,0.301819728759172
"46",1,1,1,0.889158751974241,1,1,1,1,8.3507315136909e-16,1,1,1,1,1,1
