"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"logP.calculated.ALOGPS",-0.756842105263158,2.77196428571429,2.81153846153846,0.257878787878788,2.46,0.23625,-0.148888888888889,0,2.90846153846154,0,0,3.148,3.99,0,-1.148,0,0,0,3.549375,-0.89,0,0,5.0625,2.50170731707317,2.79142857142857,2.335,3.90578947368421,3.28181818181818,2.474375,2.49652173913043,0.256428571428571,0
"logS.calculated.ALOGPS",-1.87894736842105,-3.89642857142857,-3.57692307692308,-1.92878787878788,0,-4.3,0,0,-4.27692307692308,0,0,-4.384,-4.64285714285714,0,-1.658,0,-4.12380952380952,0,-4.9,-1.45714285714286,0,0,-5.23333333333333,-3.69341463414634,0,0,-4.7421052631579,-4.02454545454545,-4.03125,0,-3.60714285714286,0
"Molecular.Weight.calculated.ChemAxon",274.226642105263,0,0,259.25865,284.133005,1398.46695,0,274.576866666667,373.784361538462,284.071747058824,286.951613043478,542.751223076923,431.833614285714,318.179569230769,298.587226666667,261.5022,442.662236363636,0,0,263.3624875,0,624.88534,0,404.983904878049,0,306.392425,472.795252631579,300.072831818182,433.2097375,296.047552173913,457.901357142857,0
"Monoisotopic.Weight.calculated.ChemAxon",273.989391842105,0,0,259.038721598529,283.7999116155,1397.44804825,0,274.273729566667,373.147490361538,283.877855417647,286.720039552174,542.41448685,431.5390514,317.9329064,298.366146533333,261.2291328125,442.176155281818,0,0,263.1399143625,0,624.48334163,0,404.586483787805,0,306.148434705,472.20354038421,299.770385109091,432.82596198125,295.306537873913,457.436088178571,0
"Polar.Surface.Area..PSA..calculated.ChemAxon",0,71.4805357142857,77.1946153846154,0,48.8915,550.7875,85.2666666666667,74.7253333333333,0,68.9623529411765,53.6834782608696,123.401153846154,87.8057142857143,50.5376923076923,144.466666666667,57.7175,0,0,54.270625,0,0,188.015,49.4675,86.1943902439024,75.7328571428571,58.3195,87.8531578947368,31.6009090909091,90.76,45.2326086956522,160.294285714286,0
"Refractivity.calculated.ChemAxon",67.4494736842105,0,103.953461538462,64.8276470588235,0,349.36875,0,73.95,0,79.4441176470588,79.1765217391304,141.741923076923,120.415714285714,0,69.356,61.65125,115.463636363636,0,103.1925,49.12875,0,163.177,106.521666666667,112.406097560976,0,0,127.517894736842,0,111.458125,75.4008695652174,113.338571428571,0
"Polarizability.calculated.ChemAxon",26.2021052631579,0,40.5057692307692,25.7732352941176,0,141.14375,0,27.5433333333333,0,32.1352941176471,0,57.1096153846154,48.8714285714286,0,27.6033333333333,22.97,43.6309090909091,0,40.458125,18.8975,0,65.062,40.9258333333333,42.0680487804878,0,0,48.0663157894737,0,44.654,27.6482608695652,43.425,0
"Rotatable.Bond.Count.calculated.ChemAxon",0,0,0,0,0,29.5,3.11111111111111,3.13333333333333,0,7.17647058823529,4.34782608695652,11.4615384615385,12.5714285714286,2.46153846153846,3.46666666666667,2.375,7.31818181818182,0,2.5,0,0,0,0,0,0,3.9,6.89473684210526,0,3,1.95652173913043,0,0
"H.Bond.Acceptor.Count.calculated.ChemAxon",0,3.64285714285714,0,0,2.8,22.375,6.88888888888889,3.8,4.61538461538461,4.11764705882353,3.39130434782609,6.73076923076923,4.42857142857143,3.84615384615385,7.8,2.75,6.59090909090909,0,2.8125,0,0,10.9,2.75,0,4,3.3,0,2.45454545454545,0,2.69565217391304,8.14285714285714,0
"H.Bond.Donor.Count.calculated.ChemAxon",0,1.42857142857143,1.57692307692308,0,1.15,18.25,1.88888888888889,1.66666666666667,0,0,1.30434782608696,0,0,1.07692307692308,4,0.5,0,0,0.9375,0,1,5,1.33333333333333,1.51219512195122,0,1.6,1.89473684210526,0.636363636363636,2.0625,0.391304347826087,3.28571428571429,1.3
