"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"MW",-0.216872678001153,0,0,-0.284820404588543,-0.193860983831631,3.31224343402155,0,-0.21587274947351,0.0674407979596882,-0.188757444155787,-0.180533144799527,0.525850924019446,0.197855524570307,0,-0.147304494456192,-0.259501157792487,0.261626161498643,0,0,-0.247178247955167,0,0.784526659392213,0,0.170802128858575,0,-0.125014507958196,0.350193015323955,-0.14306196758219,0.23714584700155,-0.154557090540104,0.300539590536702,0
"Ncharges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",-0.345166545044202,0,0.173586759356104,-0.344033162683075,0,3.25964323777897,0.103216953669374,-0.1174264370645,0,0,0,0.740631193567235,0.45563348053598,0.151373249266053,-0.333983839081081,-0.298571936864534,0.257773918193103,0,0.337560424220059,-0.685889617358025,0,0.96127458430111,0.324803264876471,0.293896427143093,0,0,0.432246571430416,0.142219573243544,0.451802866113517,-0.179249222873992,0,0
"H",-0.283315334448989,0,0,-0.24306449929345,0,3.3096383744969,0,-0.372265558896809,-0.193974120003596,0.144692216129348,0,0.981709343298072,0.635731091720814,0.131301630120036,-0.278910180476335,-0.318613042563203,0,0,0.326479565589095,-0.408481007421994,0,0.999092758590161,0.277755312068033,0.237227026652955,0,0,0.133480002963656,0.147919974464925,0.478797481445016,-0.445746179092835,0,0
"N",0.507929253102517,0,0.531066791906736,-0.380526360887615,0,0,0.409794174726004,-0.426986883821044,0,-0.446247828902689,0,0,-0.948838114626879,-0.386057375522547,0.855471042865192,0,0.708362085502479,0.790665988059239,-0.662933461071202,-0.590704917015031,-0.415292738592902,0,-0.685157628473101,0.482557745034443,0,0,0.960308029033272,-0.255827121845511,0,0,0.991902737193515,-0.255827121845511
"O",0,-0.3277396037683,-0.377997754103866,0,-0.617036846591113,4.73599958451399,-0.185264663826191,-0.29039180397765,-0.199416394231195,-0.262564031584617,-0.588632929842116,0.466523605112856,0.212247334871514,-0.324182670454905,0,-0.474364299242704,0,0,-0.401702893549784,0.4192163920447,0,1.31805344033968,-0.399562295673396,-0.243084590909494,0,-0.597888688920668,-0.414884469946483,-0.698954098657185,0.286164855290509,-0.619485460103957,0.434985463067418,0
"Cl",0,1.37650618571455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20828335071465,0,0,6.36200285792008,0,0
"P",0,-0.784942175851179,0,-0.834347351669151,0,0,0,0,0,0,0,-0.754834080470344,0,0,0,0,0,0,0,8.1937219823621,0,0,0,-0.863796711372413,0,0,0,0,0,0,0,0
"S",0,0.579961053810535,0,0,-0.835059010865933,0,0,0,2.4637607718154,-0.7962493663638,-0.849401705573243,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.769082615212306,0,0,0,0,-0.54820511671973,5.00385200448003,0
"F",0,0,0,0,0,0,6.02086295982233,0,0,0,0,0,0,0,0,0,-0.788669676794646,0,0,0,0,0,0,0,0,0,5.13970202154504,0,4.16438477333085,0,0,0
"Br",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNH2",0,-0.590802946272146,0,0,0,0,0,0,0,0,0,-0.766757679375123,0,0,0,0,0,0,0,0,0,0,0,-0.611262798958539,0,-0.708447099218904,0,0,0,0,0,0
"R2NH",0,0,0,-0.690355904858318,0,0,0,0,0,0.600586756504432,-0.688673056515156,0,-0.820987007496215,-0.897706861426409,0,0,0,0,-0.747275775288774,0,-0.795413722852817,0,-0.779676316918418,0,0,0,1.26121674741623,-0.73961746544904,0,-0.688673056515156,0.623051132034318,0
"R3N",1.15001110117761,0,1.75894670717563,-0.610331851296903,1.4029535836691,0,4.33989685259799,-0.67960618884412,-0.630314833281677,0,0,0,0,1.57459312535975,0.922362866935277,0,0.880572369827989,0,-0.575949367587806,0,0,0,-0.630314833281677,1.08255977251322,0,1.28280590448564,1.4029535836691,1.6214039094572,0,0,1.72334739482498,0
"ROPO3",0,0,0,-0.780638120391031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROH",0,-0.6973310524803,-0.640580624820357,0,-0.897308749948673,0,0,-0.712464499856285,-0.751171201798708,0.839381508272293,-0.71871527159854,0,1.83042757953969,0,1.58781950129343,0,-0.76559605966545,0,0,0,-0.53788937476903,2.55825181427847,0,-0.448890291391214,0,-0.730435468615267,-0.886499144680113,-0.754941335104789,1.22390738392404,-0.90623842386618,-0.712464499856285,0
"RCHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCOR",0,0,0,0,0,0,0,2.64480000405718,0,0,0,0,0,2.34726530984843,0,0,0,0,5.43200000715973,0,0,12.2774857290655,0,0,0,0,0,0,13.1561428729007,0,0,0
