"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"MW",274.226656778947,0,0,250.433491383784,282.284631238095,1510.01257,0,274.576800426667,373.784329969231,284.071730964706,286.951622973913,534.305196464,419.451482,0,298.58725544,259.299498488889,441.781961443478,0,0,263.6145955,0,624.885336,0,409.978230266667,0,306.39251048,472.795299305263,300.072855454545,433.20972215,296.047623478261,455.408225333333,0
"Ncharges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C",10.6842105263158,0,19.1481481481481,10.7027027027027,0,69.5,18,14.4,0,0,0,28.4,23.75,18.7857142857143,10.8666666666667,11.4444444444444,20.5217391304348,0,21.8235294117647,5.125,0,32,21.6153846153846,21.1111111111111,0,0,23.3684210526316,18.6363636363636,23.6875,13.3913043478261,0,0
"H",14.8421052631579,0,0,15.6756756756757,0,89.25,0,13,16.6923076923077,23.7058823529412,0,41.04,33.875,23.4285714285714,14.9333333333333,14.1111111111111,0,0,27.4705882352941,12.25,0,41.4,26.4615384615385,25.6222222222222,0,0,23.4736842105263,23.7727272727273,30.625,11.4782608695652,0,0
"N",3.68421052631579,0,3.74074074074074,1.51351351351351,0,0,3.44444444444444,1.4,0,1.35294117647059,0,0,0.125,1.5,4.53333333333333,0,4.17391304347826,4.375,0.823529411764706,1,1.42857142857143,0,0.769230769230769,3.62222222222222,0,0,4.78947368421053,1.81818181818182,0,0,4.86666666666667,1.81818181818182
"O",0,2.84210526315789,2.62962962962963,0,1.61904761904762,24.25,3.44444444444444,3,3.38461538461538,3.11764705882353,1.73913043478261,6.2,5.125,2.85714285714286,0,2.22222222222222,0,0,2.52941176470588,6,0,9.8,2.53846153846154,3.2,0,1.7,2.47368421052632,1.27272727272727,5.4375,1.60869565217391,6.06666666666667,0
"Cl",0,0.350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473684210526316,0,0,1.08695652173913,0,0
"P",0,0.0350877192982456,0,0.027027027027027,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1.5,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0
"S",0,0.456140350877193,0,0,0.0476190476190476,0,0,0,1,0.0588235294117647,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.130434782608696,1.73333333333333,0
"F",0,0,0,0,0,0,1.44444444444444,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,1.26315789473684,0,1.0625,0,0,0
"Br",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNH2",0,0.0701754385964912,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0.05,0,0,0,0,0,0
"R2NH",0,0,0,0.216216216216216,0,0,0,0,0,1.11764705882353,0.217391304347826,0,0.125,0.0714285714285714,0,0,0,0,0.176470588235294,0,0.142857142857143,0,0.153846153846154,0,0,0,1.57894736842105,0.181818181818182,0,0.217391304347826,1.13333333333333,0
"R3N",0.894736842105263,0,1.14814814814815,0.162162162162162,1,0,2.22222222222222,0.133333333333333,0.153846153846154,0,0,0,0,1.07142857142857,0.8,0,0.782608695652174,0,0.176470588235294,0,0,0,0.153846153846154,0.866666666666667,0,0.95,1,1.09090909090909,0,0,1.13333333333333,0
"ROPO3",0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROH",0,0.280701754385965,0.333333333333333,0,0.0952380952380952,0,0,0.266666666666667,0.230769230769231,1.70588235294118,0.260869565217391,0,2.625,0,2.4,0,0.217391304347826,0,0,0,0.428571428571429,3.3,0,0.511111111111111,0,0.25,0.105263157894737,0.227272727272727,2.0625,0.0869565217391304,0.266666666666667,0
"RCHO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCOR",0,0,0,0,0,0,0,0.466666666666667,0,0,0,0,0,0.428571428571429,0,0,0,0,0.823529411764706,0,0,1.7,0,0,0,0,0,0,1.8125,0,0,0
"RCOOH",0.105263157894737,0.0350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0.91304347826087,0,0,0,0,0,0,0.0888888888888889,0,0,0,0.0909090909090909,0,0,1.2,0
"RCOOR",0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36363636363636
"ROR",0,0,1.2962962962963,0,0,0,0,0.133333333333333,0,0,0,0,0,1.07142857142857,1,0,0,0.125,0.0588235294117647,0,0,2.5,0,0,0,0.25,0,0.181818181818182,0,0,0.133333333333333,0
"RCCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RCN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RINGS",1.84210526315789,0,3.40740740740741,1.27027027027027,0,6.25,4,0,0,1.52941176470588,0,0,0,4.21428571428571,0,0,3.34782608695652,0,4.05882352941176,0.375,0,4.2,0,3.57777777777778,0,0,3.84210526315789,0,4.3125,0,3.46666666666667,0
"AROMATIC",0,1.96491228070175,1.74074074074074,0.648648648648649,0,4,1.11111111111111,1.93333333333333,2.23076923076923,1.17647058823529,0,0,0.875,0,0,0,2.47826086956522,0,0.823529411764706,0.25,0,0,0,1.93333333333333,0,1.8,2.94736842105263,0,0.0625,0,0,0
"Molecular_weight",274.124521557895,0,0,249.97364376973,282.290565735238,1508.269219,0,274.0441279,373.559147892308,284.077052894118,286.73825496087,533.790669192,419.0803652375,0,298.523527733333,259.303995077778,447.361582581818,0,0,263.362372625,0,624.89438638,0,409.8966142,0,306.399844805,472.804253815789,299.988266390909,433.21630235,296.052167395652,454.34192762,0
"LogP",3.29885157894737,7.52939964912281,8.50459925925926,4.06294054054054,0,0,6.92735555555556,4.97601333333333,7.33299692307692,0,7.13399217391304,11.9805864,9.6555125,7.52959285714286,1.90495333333333,3.79988666666667,8.09641818181818,0,9.15766705882353,0.450075,0,0,9.34212307692308,8.53778933333333,0,7.3359,9.69361894736842,8.26204545454545,8.1072625,5.13049565217391,5.46055333333333,0
"Number_of_HBA_1",20.5263157894737,0,0,19.6486486486486,0,121,22.2222222222222,16.1333333333333,21.9230769230769,0,0,47.96,38.375,0,23.1333333333333,18.1111111111111,0,0,30.5882352941176,18,0,53.2,0,31.1777777777778,0,0,29.5789473684211,0,36.125,14.7826086956522,0,0
"Number_of_HBA_2",0,4.71929824561404,0,0,3.19047619047619,35.75,0,4.4,0,3.41176470588235,3,8.12,5.25,3.64285714285714,9.33333333333333,0,8.22727272727273,0,3.35294117647059,0,0,11.9,3.46153846153846,0,4.46666666666667,3.6,0,2,5.5625,3.47826086956522,12.1333333333333,0
"Number_of_HBD_1",0,1.49122807017544,2,0,1.85714285714286,17.5,1.11111111111111,1.13333333333333,0,0,1.39130434782609,0,0,1.78571428571429,3.93333333333333,1,1.81818181818182,0,1,4.25,1.28571428571429,5.3,0.923076923076923,1.77777777777778,0,0,0,1.27272727272727,2.0625,0.434782608695652,0,1.09090909090909
"Number_of_HBD_2",0,1.12280701754386,1.48148148148148,0,1.66666666666667,17.5,1.22222222222222,1.2,1.46153846153846,1.88235294117647,0.869565217391304,0,3.125,1.64285714285714,0,0.777777777777778,0,0,1,4.25,0,4.7,1.38461538461538,1.55555555555556,1.93333333333333,0,0,1.09090909090909,0,0.347826086956522,0,1.18181818181818
"Number_of_acidic_groups",0,0.12280701754386,0,0,0.0476190476190476,0,0,0,0.230769230769231,0,0.217391304347826,0,0,0,0.2,0,1.5,0,0.0588235294117647,3.375,0,0,0,0.266666666666667,0,0,0,0.0909090909090909,0,0.0434782608695652,1.46666666666667,0.181818181818182
"Number_of_aliphatic_OH_groups",0,0.175438596491228,0.296296296296296,0,0.0952380952380952,0,0,0.133333333333333,0.153846153846154,1.29411764705882,0.217391304347826,0,2.625,0,2.4,0,0.181818181818182,0,0,0,0,1.9,0,0.488888888888889,0,0.15,0.0526315789473684,0.227272727272727,2.0625,0.0869565217391304,0.133333333333333,0
"Number_of_basic_groups",0,0,1.03703703703704,0,0.666666666666667,0,0.777777777777778,0,0,0,0.739130434782609,0,0,0.857142857142857,0,0,0.0454545454545455,0,0.0588235294117647,0,0,0,0.0769230769230769,0,0,0.9,0,1.13636363636364,0,0,0,0
"Fraction_of_rotatable_bonds",0,0,0,0.314118357864865,0,0,0.106642933333333,0.153126347333333,0.179395930846154,0.351166870764706,0,0.33484640356,0.365722917375,0.100062487857143,0.166603051733333,0.141347881888889,0,0,0.0808713684117647,0,0,0.1310519339,0.175027846307692,0.199337116355556,0,0.1887582859,0,0,0.0860647716875,0.127307550565217,0,0
"Number_of_heavy_bonds",19.6315789473684,0,28.7777777777778,17.3783783783784,0,113.25,29.2222222222222,20.7333333333333,0,20.7647058823529,21.695652173913,39.44,31,0,22.2,19.1111111111111,33.1363636363636,0,28.8235294117647,13,0,48.3,0,31.6222222222222,0,0,35.6315789473684,0,33.9375,21.1739130434783,32.8,0
"Number_of_heterocycles",0,0,1.85185185185185,0.513513513513513,0,3.75,2.44444444444444,0,0,0.235294117647059,0.782608695652174,0,0.25,1.85714285714286,2.4,0,1.77272727272727,0,0.352941176470588,0.25,0,0,0,1.93333333333333,0,0,2,0,0.4375,0,3.13333333333333,0
"Number_of_hydrophobic_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MolarRefractivity",83.0254736842105,0,0,76.9736648648649,0,451.42395,0,84.7852266666667,0,0,0,185.500884,150.6160875,0,84.0371933333333,83.1368555555556,137.195109090909,0,130.988047058824,61.6829875,0,203.26914,131.269838461538,134.799293333333,0,0,148.951,0,144.19218125,82.2221434782609,123.1992,0
"Number_of_atoms",33.5263157894737,0,0,32.3513513513514,0,194.25,0,31.8666666666667,0,0,0,78.12,63.25,0,35.6,32.3333333333333,52.9545454545455,0,53.2352941176471,26,0,86.2,51.6153846153846,54.5333333333333,0,0,56.2631578947368,0,61.125,31.0434782608696,48.4,0
"Number_of_halogen_atoms",0,0,0,0,0,0,1.44444444444444,0,0,0.117647058823529,0,0.12,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,1.84210526315789,0.181818181818182,1.25,2.21739130434783,0,0
"Number_of_B_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_Br_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_Cl_atoms",0,0.350877192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473684210526316,0,0,1.08695652173913,0,0
"Number_of_I_atoms",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_F_atoms",0,0,0,0,0,0,1.44444444444444,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,1.26315789473684,0,1.0625,0,0,0
"Number_of_N_atoms",3.68421052631579,0,3.74074074074074,1.51351351351351,0,0,3.44444444444444,1.4,0,1.35294117647059,0,0,0.125,1.5,4.53333333333333,0,4.27272727272727,4.375,0.823529411764706,1,1.42857142857143,0,0.769230769230769,3.62222222222222,0,0,4.78947368421053,1.81818181818182,0,0,4.86666666666667,1.81818181818182
"Number_of_O_atoms",0,2.84210526315789,2.62962962962963,0,1.61904761904762,24.25,3.44444444444444,3,3.38461538461538,3.11764705882353,1.73913043478261,6.2,5.125,2.85714285714286,0,2.22222222222222,0,0,2.52941176470588,6,0,9.8,2.53846153846154,3.2,0,1.7,2.47368421052632,1.27272727272727,5.4375,1.60869565217391,6.06666666666667,0
"Number_of_P_atoms",0,0.0350877192982456,0,0.027027027027027,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1.5,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0
"Number_of_S_atoms",0,0.456140350877193,0,0,0.0476190476190476,0,0,0,1,0.0588235294117647,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.130434782608696,1.73333333333333,0
"Number_of_bonds",34.3684210526316,0,0,32.5945945945946,0,200.75,0,33.2,0,0,0,79.96,64.5,50.2142857142857,37.0666666666667,33.2222222222222,55.4090909090909,0,56.2941176470588,25,0,89.7,53.4615384615385,57.1555555555556,0,0,59.1052631578947,0,64.5625,32.6521739130435,50.8666666666667,0
"Number_of_NO2_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_SO_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_OSO_groups",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Number_of_SO2_groups",0,0,0,0,0,0,0,0,1.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PolarSurfaceArea",0,81.6463157894737,81.5848148148148,0,51.7404761904762,589.615,92.9577777777778,80.4053333333333,0,74.0352941176471,58.3878260869565,0,90.70875,59.1642857142857,146.595333333333,0,135.087727272727,0,56.1564705882353,0,0,189.939,57.4230769230769,93.5764444444444,79.3273333333333,67.2565,93.8484210526316,33.3554545454545,93.9225,47.4978260869565,208.949333333333,0
"Geometrical_diameter",9.79822790473684,0,12.4061685827778,8.87585879662162,0,23.2963272275,13.5015938488889,10.5224276071333,0,12.7280602276471,0,13.80108039592,0,0,0,9.38158585033333,13.0587962373636,0,0,7.997905166875,0,15.490800825,13.6550003699231,12.2671267466667,0,0,14.1152046247368,10.4034717502273,0,9.48830081386957,0,0
"Geometrical_radius",0,1.0034327745614,0,0,1.02444404433333,0,0,1.00517835006667,0.994837492461538,0.972189998705882,1.00858548156522,0,0.960919667875,1.01258195507143,0.973729556333333,1.040920371,0,1.003253221875,1.00410030611765,0,0,0,0,1.0006012406,0,1.0065085645,1.00756168857895,1.02597902840909,0.969573605625,1.05760344852174,0,1.01242277390909
"Geometrical_shape_coefficient",8.99894900957895,0,0,8.56152379010811,9.14995804242857,0,12.7720393255556,9.46636113433333,0,0,9.1875964186087,0,0,9.64045610642857,9.639368554,8.02970401177778,0,0,10.2398343127647,0,0,15.254300978,0,0,10.4105519453333,10.195686563,13.0160914933158,9.15926788622727,10.9802905045625,7.99851444230435,10.9229538242,9.16903032245455
"Kier_shape_1",15.4846185284211,0,0,14.9424105265405,15.9278955385714,93.22621644,0,15.2935892034,0,17.40547029,15.9626530522174,32.501094334,25.63795504,16.6863467164286,16.4424165013333,14.8302576608889,24.686657155,0,0,14.23016544125,0,37.053037296,0,22.8289221140889,0,16.495684114,26.1262873331579,16.9744641645455,23.05593643125,15.1634033343478,24.2672474566667,0
"Kier_shape_2",6.75643743789474,0,0,6.95684622351351,0,45.223961915,7.76898922622222,6.60675164293333,0,0,7.07662675173913,15.66610584036,13.23998853375,6.36721612321429,6.76842317606667,6.28663510655556,11.2613996731364,0,6.89470138252941,4.531758856625,0,0,0,0,0,7.1738775131,11.9945287484211,7.83678880277273,7.3147297470625,6.15513428095652,10.0378874260667,0
"Zagreb_group_index_1",172.421052631579,0,0,165.351351351351,0,1032.75,252.666666666667,164.733333333333,0,0,0,415.12,333.375,267.571428571429,187.2,165.222222222222,282.409090909091,0,302.764705882353,123.25,0,463.2,274.923076923077,295.044444444444,0,0,296.210526315789,0,351.125,164.782608695652,263.8,0
"Zagreb_group_index_2",181.789473684211,0,0,174.648648648649,0,1153,284.444444444444,180.666666666667,0,225.941176470588,0,440.2,358.125,303.357142857143,208.666666666667,166.333333333333,306.454545454545,0,347.882352941176,132.375,0,499.7,0,322.111111111111,0,0,316.263157894737,0,411.625,180.608695652174,293,0
"abonds",7.10526315789474,11.719298245614,11.6666666666667,3.91891891891892,0,23.75,11.6666666666667,11.3333333333333,14.0769230769231,7.23529411764706,0,0,5.25,0,0,0,15.0434782608696,0,4.70588235294118,1.375,0,0,0,11.8222222222222,0,10.7,18.8421052631579,0,0.3125,0,6.46666666666667,0
"atoms",33.6315789473684,0,0,32.8108108108108,0,196,0,32.4,0,0,0,78.64,63.625,0,35.6666666666667,32.3333333333333,51.9565217391304,0,53.2352941176471,26.25,0,86.2,52.0769230769231,54.6222222222222,0,0,56.2631578947368,0,61.125,31.0434782608696,49.4666666666667,0
"bonds",34.4736842105263,0,0,33.0540540540541,0,202.5,0,33.7333333333333,0,0,0,80.48,64.875,50.2142857142857,37.1333333333333,33.2222222222222,54.1739130434783,0,56.2941176470588,25.25,0,89.7,53.9230769230769,57.2444444444444,0,0,59.1052631578947,0,64.5625,32.6521739130435,51.9333333333333,0
"dbonds",0,1.73684210526316,1.25925925925926,0,1.0952380952381,0,0,0,0,0.411764705882353,0.695652173913043,3.28,0,1.07142857142857,1.33333333333333,0,0,0,0,0,0,4.6,0,0,1.33333333333333,1.35,1.52631578947368,0.863636363636364,4.1875,1.43478260869565,5.26666666666667,3.90909090909091
"HBA1",21.1052631578947,0,0,21.2162162162162,0,125.5,0,17.2,22.5384615384615,0,0,49.64,39.125,0,23.4666666666667,18.3333333333333,0,0,30.7058823529412,19,0,54.1,0,31.6666666666667,0,0,30.2105263157895,0,36.125,14.9130434782609,30.6,0
"HBA2",0,4.96491228070175,0,0,3.9047619047619,36.5,0,4.4,0,4.41176470588235,3.91304347826087,8.76,5.25,4.5,9.4,0,8,0,3.41176470588235,0,0,12.8,3.53846153846154,0,4.6,4.35,0,2.86363636363636,5.5625,3.56521739130435,12.4,0
"HBD",0,1.40350877192982,1.59259259259259,0,1.14285714285714,19.25,1.88888888888889,1.66666666666667,0,0,1.26086956521739,0,0,1,4,1,0,0,0.941176470588235,4.375,1.14285714285714,5,1.30769230769231,1.57777777777778,2.13333333333333,1.6,1.89473684210526,0.636363636363636,2.0625,0.391304347826087,3.4,1.27272727272727
"logP",0.217644210526316,3.85961719298246,3.05615111111111,0.960205405405405,0,0,0,0,4.44548923076923,0,2.75098782608696,3.6789344,3.60295,0,-1.06985333333333,0,3.50201304347826,0,4.44277882352941,-0.3699375,0,0,4.99329230769231,3.31730266666667,3.204732,2.796905,4.93874,3.29704545454545,0,2.81246086956522,0.615773333333333,0
