cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
nucleotide biosynthetic process	2.80299717753853	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nucleoside phosphate biosynthetic process	2.80299717753853	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of adenylate cyclase activity	2.43907528825131	0	0	0	0	0	0	0	0	0	3.83003538891299	0	0	2.53130301785199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gamma-aminobutyric acid signaling pathway	2.43907528825131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of cyclase activity	2.43907528825131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of lyase activity	2.43907528825131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to cadmium ion	2.41851375016609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purine-containing compound biosynthetic process	2.32692274311676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96978021435174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of protein binding	2.01417216280734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to drug	1.90048559880209	4	4	4	4	0	0	1.58035867685235	2.21546680935825	3.06785173987664	4	4	0	2.53049060412661	1.85478854906585	2.69342825959686	1.9485903849593	3.11576038052301	2.39872435312233	0	0	0	0	4	2.44676366013171	4	4	4	0	4	0	3.41935766644323
small molecule biosynthetic process	1.72041449774298	3.77903724160557	0	4	0	0	0	4	0	0	0	2.13932158905828	0	0	0	0	0	0	0	1.54417089506874	0	0	1.67961462207413	0	2.16782720130377	0	0	0	0	0	0	0
digestive tract development	1.7059775344067	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1519051965396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
digestive system development	1.7059775344067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
potassium ion transport	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
circulatory system process	0	4	4	0	4	0	0	0	0	0	0	0	1.66959569039667	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
regulation of blood vessel size	0	4	4	0	0	0	0	0	0	4	4	3.20717833275363	0	0	2.1519051965396	0	0	0	0	0	0	0	0	3.69957290910183	3.69457069630265	4	0	4	0	0	0	0
regulation of tube size	0	4	4	0	4	3.23460283020958	0	0	0	4	4	3.19875795983756	0	0	2.14598113121894	0	2.83106892366306	0	0	0	0	0	0	3.68887470376734	3.69457069630265	4	0	4	0	4	0	0
regulation of system process	0	4	0	4	4	0	0	0	0	0	4	0	2.38642217248519	4	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	4	0	0
response to alkaloid	0	4	4	0	0	0	0	1.56094858687217	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
smooth muscle contraction	0	4	0	0	0	0	0	0	0	4	4	0	0	3.71025500509249	3.56691818279915	0	2.09554908304682	0	0	0	0	0	0	0	4	4	0	4	0	4	0	0
phospholipase C-activating G-protein coupled receptor signaling pathway	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of membrane potential	0	4	4	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	4	0	0	0	4	0	4	0	0
regulation of blood pressure	0	4	0	0	0	0	0	2.38051940515121	3.4193313192034	0	4	1.90577774267772	0	0	0	0	3.8267061633055	0	0	0	0	0	2.62656600171304	0	4	0	0	0	0	0	0	0
regulation of ion transmembrane transport	0	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4
monoamine transport	0	4	4	0	4	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
negative regulation of transport	0	4	0	0	0	0	0	0	0	1.98051014881096	0	0	0	0	3.15272281248472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of purine nucleotide metabolic process	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
