cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 30	cluster 31	cluster 32
plasma membrane receptor complex	2.72542712976689	2.81153379855047	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0
receptor complex	2.19217941167918	4	0	0	3.53135315849169	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	1.76815470150404	0	4	4	2.79441220386363	4	0	0
postsynaptic membrane	1.56997068751723	3.26196528177486	3.35864132926524	4	2.69115220341244	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	0	0	4	0	4	4	0	0
nucleotide-activated protein kinase complex	1.56997068751723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transferase complex, transferring phosphorus-containing groups	1.56997068751723	0	0	0	0	0	0	0	0	0	0	0	0	3.77856331512553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
telomere cap complex	1.56997068751723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuclear telomere cap complex	1.56997068751723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
synaptic membrane	1.56997068751723	2.75056760551135	2.80736375743157	4	2.32571338779006	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	0	0	4	0	4	4	0	0
ion channel complex	0	4	4	4	4	0	2.39031361412184	0	1.45918736533877	4	0	0	4	0	0	1.73238953960586	0	0	4	0	0	4	3.96832036152874	4	0	4	4	0	4
transmembrane transporter complex	0	4	4	4	4	0	2.39031361412184	0	0	4	0	0	4	0	0	0	0	0	4	0	0	4	3.96832036152874	4	0	4	4	0	4
transporter complex	0	4	4	4	4	0	2.39031361412184	0	0	4	0	0	4	0	0	0	0	0	4	0	0	4	3.96832036152874	4	0	4	4	0	4
cation channel complex	0	4	4	4	4	0	2.40580396729998	0	0	3.62662693340332	0	0	0	0	1.65610804995667	1.85565085767762	0	0	0	0	0	4	3.96832036152874	4	0	4	1.92885823150847	0	4
voltage-gated potassium channel complex	0	4	1.97279002599973	4	2.69115220341244	0	2.40580396729998	0	1.45918736533877	0	0	0	0	0	0	1.95239440294686	0	0	0	0	0	3.402896206232	3.96832036152874	0	0	4	0	0	0
potassium channel complex	0	4	1.96994017933441	4	2.69115220341244	0	2.40580396729998	0	1.45918736533877	0	0	0	0	0	0	1.95239440294686	0	0	0	0	0	3.402896206232	3.96832036152874	0	0	4	0	0	0
cell body	0	4	4	4	4	0	0	0	0	4	0	0	4	0	3.1852760132923	0	3.29910859074007	0	3.57078136714066	0	0	2.49758018259764	0	3.48910174634494	0	4	4	0	3.41897658730042
neuronal cell body	0	4	4	4	4	0	0	0	0	4	0	0	4	0	3.4751358155938	0	3.29910859074007	0	3.7800121052311	0	0	2.69125781759104	0	3.88802848481668	0	4	4	0	3.75460618652813
membrane raft	0	4	2.07678198430078	0	3.89766756826233	0	0	0	1.45918736533877	4	0	0	3.66930716936641	0	0	0	0	0	0	0	0	4	0	1.6972600568056	4	4	0	0	0
membrane microdomain	0	4	2.07678198430078	0	3.89766756826233	0	0	0	1.45918736533877	4	0	0	3.66930716936641	0	0	0	0	0	0	0	0	4	0	1.6972600568056	4	4	0	0	0
