cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
GABA receptor activity	3.10491220477539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
drug binding	2.09329975020215	4	4	0	4	0	2.06147516375337	0	3.99618270671152	0	4	3.26264943856275	2.01110802781451	4	2.54193386279036	2.50436395876649	2.91523208589972	0	0	0	4	3.91918565866108	4	4	1.60415708203316	4	0	4	0	4	0	0
transcription coactivator binding	1.85729477042675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80880557567114	0	0	0	0	0	0	0	0	0
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	1.85729477042675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphate ion binding	1.85729477042675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
folic acid binding	1.85729477042675	2.55534801430678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09283523631354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA-directed DNA polymerase activity	1.85729477042675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
telomerase RNA binding	1.85729477042675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
organic acid binding	1.79734213240459	2.09980399714635	0	1.51238588799542	0	0	0	0	0	0	0	0	0	0	0	0	2.75055547334285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transcription cofactor binding	1.79734213240459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
telomeric DNA binding	1.72408638638208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gated channel activity	0	4	4	4	4	0	0	0	0	0	4	0	0	4	0	1.94683220394528	0	2.03261854359537	0	0	4	0	0	4	4	4	0	4	0	4	0	4
cation channel activity	0	4	4	4	4	0	0	0	0	0	4	0	0	4	0	2.84607709235219	0	2.08337560267157	0	0	4	0	0	4	3.91238522564849	4	0	4	0	3.97915024217155	0	4
ion channel activity	0	4	4	4	4	0	0	0	0	0	4	0	0	4	0	2.27534898813927	0	0	0	0	4	0	0	4	4	4	0	4	0	4	0	4
substrate-specific channel activity	0	4	4	4	4	0	0	0	0	0	4	0	0	4	0	2.22218492319055	0	0	0	0	4	0	0	4	4	4	0	4	0	4	0	4
channel activity	0	4	4	4	4	0	0	0	0	0	4	0	0	4	0	2.12179532576108	0	0	0	0	4	0	0	4	4	4	0	3.9542278109016	0	4	0	4
passive transmembrane transporter activity	0	4	4	4	4	0	0	0	0	0	4	0	0	4	0	2.12179532576108	0	0	0	0	4	0	0	4	4	4	0	3.9542278109016	0	4	0	4
metal ion transmembrane transporter activity	0	4	4	4	4	0	0	0	1.92614769815832	0	4	0	0	2.21549211612818	0	2.27645476500487	0	0	0	0	2.7807435259351	0	0	4	4	4	0	4	0	4	0	4
potassium channel activity	0	4	3.40881129550709	4	0	0	2.06147516375337	0	0	0	0	0	0	0	0	0	0	2.41352751034797	0	0	0	0	0	4	3.39304871825917	0	0	4	0	0	0	0
potassium ion transmembrane transporter activity	0	4	2.98111266224025	4	2.09931212701176	0	2.06147516375337	0	3.33073743744729	0	0	1.90168020676916	0	0	0	0	0	2.330182606908	0	0	0	0	0	3.69133010800092	3.13612976128319	0	0	4	0	0	0	0
monovalent inorganic cation transmembrane transporter activity	0	4	3.56599924718675	4	4	0	0	0	2.1162896884582	0	0	0	0	0	0	0	0	2.01250942867656	0	0	0	0	0	3.88736287778218	4	4	0	4	0	2.20029545877912	0	0
calcium-activated potassium channel activity	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcium activated cation channel activity	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G-protein coupled amine receptor activity	0	4	4	0	4	0	0	0	0	4	4	1.76824932790623	0	0	0	0	0	0	0	0	2.21789918834932	0	0	1.67437101270085	0	4	0	4	0	4	0	0
neurotransmitter receptor activity	0	4	4	3.38389230884021	4	0	0	0	0	2.57501526490845	4	0	0	4	0	0	0	0	0	0	4	0	0	4	0	4	0	4	0	4	0	0
ion gated channel activity	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
catecholamine binding	0	4	4	0	4	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	4	0	0
adrenergic receptor activity	0	4	4	0	3.24017178408077	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
voltage-gated ion channel activity	0	4	4	4	4	0	2.03660509795173	0	0	0	3.65198836574569	0	0	0	0	0	0	2.24379322095553	0	0	0	0	0	4	3.85480265679125	4	0	4	0	0	0	4
voltage-gated channel activity	0	4	4	4	4	0	2.03660509795173	0	0	0	3.65198836574569	0	0	0	0	0	0	2.24379322095553	0	0	0	0	0	4	3.85480265679125	4	0	4	0	0	0	4
ligand-gated ion channel activity	0	4	0	3.98759668024725	4	0	2.06147516375337	0	0	0	4	0	0	4	0	3.06430010143052	0	2.35529454313273	0	0	4	0	0	1.82193470296992	2.27245273378207	4	0	0	0	4	0	0
ligand-gated channel activity	0	4	0	3.98759668024725	4	0	2.06147516375337	0	0	0	4	0	0	4	0	3.06430010143052	0	2.35529454313273	0	0	4	0	0	1.82193470296992	2.27245273378207	4	0	0	0	4	0	0
