cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
Neuroactive ligand-receptor interaction	1.76411515562132	4	4	0	4	4	0	0	4	4	0	4	4	0	0	2.78687836739263	0	0	0	4	0	0	3.87359901510593	1.5119824088042	4	0	4	0	4	0	0
Taste transduction	1.76411515562132	0	4	0	4	0	0	0	3.00446289560209	2.24793819598557	0	0	0	0	3.06706386762896	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	1.65690975579192
GABAergic synapse	1.76411515562132	0	3.50342989109872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	3.18769964398785
Morphine addiction	1.76411515562132	0	3.46024186944526	0	2.33241629495845	0	0	0	0	2.12471019161458	0	3.98888446379634	0	0	4	0	0	0	0	0	0	0	2.30811621450527	0	4	0	0	0	4	0	4
Estrogen signaling pathway	1.76411515562132	0	0	0	0	0	0	0	0	2.03012243714726	0	0	0	0	4	0	0	0	0	0	1.58148059325226	0	0	0	0	3.66375218794339	0	0	0	0	1.51191467476697
Pyrimidine metabolism	1.76411515562132	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calcium signaling pathway	0	4	4	0	4	1.77910101633391	0	0	4	4	0	1.94877089417894	0	0	4	1.75070785911478	0	0	0	3.12125094807469	1.43448569945714	0	0	1.45262757271857	4	3.30244178572497	4	0	4	0	4
cGMP-PKG signaling pathway	0	4	4	0	2.29850193847929	0	0	0	4	2.76307222738324	0	0	0	0	4	2.78687836739263	0	0	0	0	1.46567443565285	0	0	1.5119824088042	3.71116176433563	0	4	0	2.89120784470956	0	2.9264642331078
Insulin secretion	0	4	3.56741579492372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3992918895577
Cocaine addiction	0	4	0	0	3.16495273924246	0	0	0	0	4	0	0	2.46867072643664	0	0	0	2.24873527099863	0	0	4	0	0	0	0	3.39607614930125	0	2.04017972000543	0	4	0	0
cAMP signaling pathway	0	4	4	0	4	0	0	0	4	4	0	4	1.70016953717897	0	4	0	0	0	0	3.01022329136626	0	0	0	0	4	2.42337455988732	4	0	4	0	4
Vascular smooth muscle contraction	0	4	3.5904678806347	0	0	2.02332086054479	0	0	4	0	0	0	0	0	3.31722958503172	2.14412999828139	0	0	0	0	0	0	0	0	0	2.44479179470809	0	2.39907056944509	0	0	2.70066501385855
Serotonergic synapse	0	4	4	0	4	0	2.09169684240398	0	2.78004133401137	4	0	0	0	0	2.17906799151796	0	1.7550507022717	0	0	0	0	0	0	0	4	1.8412270278788	4	1.51048250897399	4	0	2.81595910564095
Amphetamine addiction	0	3.6046713255675	0	0	2.68844689379012	0	0	0	0	4	0	0	0	0	0	0	2.08764755065569	0	0	4	0	0	0	0	1.96605120070882	0	0	0	4	0	1.83969475815785
Dopaminergic synapse	0	2.96509452360597	4	0	3.51846644296687	0	0	0	0	3.210712506052	0	0	0	0	2.06185018106038	0	1.67020545721973	0	0	0	0	0	0	0	4	0	4	0	4	0	1.86976132402164
Antifolate resistance	0	2.89949126631483	0	0	0	0	2.04331201264949	0	0	0	0	0	0	0	0	4	0	0	0	1.54204639602629	0	0	0	0	0	0	0	0	0	0	1.59415159620717
Leishmaniasis	0	2.45800591140664	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salivary secretion	0	2.10059294632322	3.46840739190314	0	2.33241629495845	0	0	1.77632647202734	4	0	0	0	0	0	2.32618409474511	0	0	0	0	0	0	0	0	0	3.81014201450455	0	4	0	2.64414025887587	0	0
