"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"Organic Acids and Derivatives",0,0,0,2.5757722007722,2.52125850340136,9.41269841269841,0,0,0,0,3.22282608695652,3.92195767195767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzenoids",0,1.84062078272605,0,0,0,0,0,2.73692307692308,0,3.75656108597285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07342657342657,0,0,0,0
"Organonitrogen Compounds",0,0,0,3.37411095305832,4.45864661654135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80263157894737,0,0,0,0,0,0,0,0,0,5.4279176201373,0,0
"Homogeneous Non-metal Compounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heterocyclic Compounds",0,0,1.50818629788587,0,0,0,2.5450643776824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9087982832618,0,0,0,1.77047956708341,2.20572246065808,2.31369488880219
"Organophosphorus Compounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.125,0,0,0,0,0,0,0,0,0,0,0,0
"Phenylpropanoids and Polyketides",0,0,0,0,0,0,0,5.15652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3130434782609,0,0,0,0,0,0,0,0,0,0
"Organooxygen Compounds",7.53357531760436,0,0,3.31593662628145,0,0,0,0,0,0,0,0,0,0,16.3586206896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed Metal/Non-metal Compounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lipids",0,0,0,0,0,0,0,0,0,0,0,0,7.94196428571429,0,0,0,0,0,8.09768907563025,0,0,0,6.51648351648352,0,0,0,0,0,10.5892857142857,0,0,0
"Alkaloids and Derivatives",0,0,0,0,0,0,0,0,0,0,0,0,0,30.8051948051948,0,0,0,0,0,0,0,0,0,0,0,5.39090909090909,0,0,0,0,0,0
"Lignans and Norlignans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,0,0,0,0,0,0,0,0,0,0
"Not Available",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
