"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"Organic Acids and Derivatives",0.852728281459511,0.925236401807925,0.935560707225905,0.00479193719050842,0.0393257832980244,3.27694129201112e-08,1,1,1,1,0.00340994820810982,6.11658640955645e-05,1,1,0.422398152637298,1,0.658424718833689,0.550013882373019,1,1,0.550013882373019,0.632108293857197,1,0.941427693349583,1,1,1,0.891825021882438,1,0.902434126566472,0.778367009412551,1
"Benzenoids",0.991644364872428,0.000726545107460942,0.2205310482204,0.937819022596521,0.874742144273623,1,1,0.00136311553484831,0.312529849767078,1.22213045643963e-07,0.106501765636379,0.958004751810921,0.863731116004681,0.970054934827808,1,0.621475322235225,0.390806233612239,0.552942433208339,0.917118241536034,1,1,0.917606066716681,0.961404138222508,0.161180451105097,0.673552242889678,0.851458574019924,0.406490592263701,0.0105480839807125,1,0.976798797246208,1,1
"Organonitrogen Compounds",0.466601744945169,0.857939012655543,1,0.0253140491398272,0.0257553899022684,1,1,1,1,1,0.165018006499777,1,1,1,1,1,0.533963538511503,1,1,0.0242944646503231,1,1,1,1,1,1,1,0.517922428424037,1,0.00454292172199553,1,1
"Homogeneous Non-metal Compounds",1,1,1,0.120994940978078,0.0696299165945032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Heterocyclic Compounds",0.486932195581505,0.373746053805334,0.0254859188079924,0.999566262852297,0.628090376148512,1,0.000202894730938335,0.970887618261371,0.0862972164303986,0.986785863289988,0.941785000324899,0.983464333262066,1,0.867318649185562,0.999501293066424,0.250452765378329,0.745276657597904,0.389026159718921,1,0.887655641805229,0.670992892551081,0.82322377785861,0.938037573232073,0.184937452757174,0.367064758094483,0.00108851855970498,0.075175728989585,0.347413152367625,1,0.00270760669899695,0.000190427959271438,0.000558374079898999
"Organophosphorus Compounds",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.37244006939481e-08,1,1,1,1,1,1,1,1,1,1,1,1
"Phenylpropanoids and Polyketides",0.533963538511503,0.0599265771261902,0.664690938334952,0.779301285777433,1,1,1,0.0171217097966786,1,1,1,0.281920851397461,1,1,1,1,0.604461797141673,1,0.494354652996206,1,1,0.000311619496638295,1,0.533894994783735,0.111214586852362,1,1,1,1,1,1,1
"Organooxygen Compounds",1.0644928451382e-05,1,1,0.00643175039826786,1,1,1,1,0.482468203566263,1,1,1,1,1,6.16242540770336e-15,1,1,1,1,1,1,1,1,1,0.53297001099028,1,0.236695811319734,1,1,1,1,1
"Mixed Metal/Non-metal Compounds",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0387858347386172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Lipids",1,1,1,0.88426798049551,1,1,1,1,1,1,1,0.245056023938997,1.32677954713514e-05,1,1,1,0.902434126566472,1,2.1427706947754e-11,1,0.169648258416627,1,3.45992463578865e-06,0.941427693349583,0.778367009412551,1,0.852728281459511,1,4.57097302672714e-18,1,1,1
"Alkaloids and Derivatives",1,1,1,1,1,1,1,1,1,1,1,1,1,1.33280270066405e-12,1,1,1,1,1,1,1,1,1,0.583480236895598,1,0.0495494594130221,1,1,1,1,1,1
"Lignans and Norlignans",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.016863406408094,1,1,1,1,1,1,1,1,1,1
"Not Available",1,0.94496385490907,0.737161337404809,0.250777565525621,0.644317828776031,0.354904138649879,1,1,1,1,1,0.368504511946619,0.322475621382727,0.49585264657748,1,0.0630474832455153,0.0885069912134989,0.322475621382727,0.565627913317962,1,0.0504945088195212,1,0.470279954737208,0.15472778452425,0.520232829471833,1,1,1,1,1,0.520232829471833,0.415330244791288
